Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"Martin, George R.R.",,"=""0553588486""","=""9780553588484""",4,4.44,Bantam,Mass Market Paperback,835,2005,1996,,2022/04/09,,,read,,,,1,,,0,,,,,
28194,"Inkheart (Inkworld, #1)",Cornelia Funke,"Funke, Cornelia",Anthea Bell,"=""0439709105""","=""9780439709101""",4,3.90,Scholastic Paperbacks,Paperback,563,2005,2003,,2022/04/09,,,read,,,,1,,,0,,,,,
127455,"The Lies of Locke Lamora (Gentleman Bastard, #1)",Scott Lynch,"Lynch, Scott",,"=""0553804677""","=""9780553804676""",0,4.28,Bantam Spectra,Hardcover,499,2006,2006,,2022/04/09,to-read,to-read (#32),to-read,,,,0,,,0,,,,,
249747,"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,"Colfer, Eoin",,"=""""","=""""",3,3.85,Disney-Hyperion,Paperback,396,2003,2001,,2022/04/09,,,read,,,,1,,,0,,,,,
11127,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,"Lewis, C.S.",Pauline Baynes,"=""0066238501""","=""9780066238500""",4,4.26,HarperCollins,Paperback,767,2014,1956,,2022/04/09,,,read,,,,1,,,0,,,,,
21413662,"What If? Serious Scientific Answers to Absurd Hypothetical Questions (What If?, #1)",Randall Munroe,"Munroe, Randall",,"=""0544272994""","=""9780544272996""",3,4.14,Mariner Books,Hardcover,303,2014,2014,,2022/04/08,,,read,,,,1,,,0,,,,,
776159,The Lady in the Lake,Raymond Chandler,"Chandler, Raymond",,"=""0394758250""","=""9780394758251""",5,4.05,Vintage Crime/Black Lizard,Paperback,266,1988,1943,,2022/04/08,,,read,,,,1,,,0,,,,,
2054,The Long Goodbye,Raymond Chandler,"Chandler, Raymond",,"=""0394757688""","=""9780394757681""",4,4.19,Vintage Crime/Black Lizard,Paperback,379,1988,1953,,2022/04/08,,,read,,,,1,,,0,,,,,
6411961,"The Lost Symbol (Robert Langdon, #3)",Dan Brown,"Brown, Dan",,"=""0385504225""","=""9780385504225""",1,3.73,Doubleday,Hardcover,509,2009,2009,,2022/04/08,,,read,,,,1,,,0,,,,,
976,Deception Point,Dan Brown,"Brown, Dan",,"=""0671027387""","=""9780671027384""",2,3.73,Pocket Books,Mass Market Paperback,556,2002,2001,,2022/04/08,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",4,3.89,Anchor,Paperback,489,2006,2003,,2022/04/08,,,read,,,,1,,,0,,,,,
960,"Angels & Demons (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",3,3.92,Pocket Books,Mass Market Paperback,736,2006,2000,,2022/04/08,,,read,,,,1,,,0,,,,,
39999,The Boy in the Striped Pajamas,John Boyne,"Boyne, John",,"=""""","=""""",3,4.16,David Fickling Books,Hardcover,240,2006,2006,,2022/04/08,,,read,,,,1,,,0,,,,,
7624,Lord of the Flies,William Golding,"Golding, William",,"=""0140283331""","=""9780140283334""",3,3.69,Penguin Books ,Paperback,182,1999,1954,,2022/04/08,,,read,,,,1,,,0,,,,,
77203,The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,"=""""","=""""",2,4.32,Riverhead Books,Paperback,371,2004,2003,,2022/04/08,,,read,,,,1,,,0,,,,,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,3.81,Back Bay Books,Paperback,277,2001,1951,,2022/04/08,,,read,,,,1,,,0,,,,,
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",4,3.88,Penguin Books,Paperback,112,2002,1937,,2022/04/08,,,read,,,,1,,,0,,,,,
57654400,The Storyteller: Tales of Life and Music,Dave Grohl,"Grohl, Dave",,"=""""","=""""",0,4.51,Dey Street Books,Kindle Edition,304,2021,2021,,2022/03/30,to-read,to-read (#31),to-read,,,,0,,,0,,,,,
43434611,For The Good Times,David Keenan,"Keenan, David",,"=""""","=""""",5,4.02,Faber & Faber,Kindle Edition,274,2019,2019,2022/03/27,2019/06/09,,,read,,,,1,,,0,,,,,
7682,The Great Train Robbery,Michael Crichton,"Crichton, Michael",,"=""0553129198""","=""9780553129199""",3,3.87,Bantam,Mass Market Paperback,300,1979,1975,2022/03/27,2022/03/20,,,read,,,,1,,,0,,,,,
25027899,Mockingbird,Walter Tevis,"Tevis, Walter",,"=""""","=""""",5,4.16,Gateway,Kindle Edition,292,2015,1980,2022/03/18,2021/04/19,,,read,,,,1,,,0,,,,,
57390218,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Redhouse,"=""""","=""""",2,4.10,,Kindle Edition,,2021,1890,2022/01/13,2021/12/29,,,read,,,,1,,,0,,,,,
48496140,The Book of Koli (Rampart Trilogy #1),M.R. Carey,"Carey, M.R.",,"=""""","=""""",3,4.01,Orbit,Kindle Edition,418,2020,2020,2022/03/06,2022/03/06,,,read,,,,1,,,0,,,,,
40604658,"Jurassic Park (Jurassic Park, #1)",Michael Crichton,"Crichton, Michael",,"=""""","=""""",4,4.07,Ballantine Books,Kindle Edition,466,2012,1990,2022/03/17,2022/03/09,,,read,,,,1,,,0,,,,,
50998056,The Ministry for the Future,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316300136""","=""9780316300131""",0,3.89,Orbit,Hardcover,563,2020,2020,,2022/03/17,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
18656031,"Baptism of Fire (The Witcher, #3)",Andrzej Sapkowski,"Sapkowski, Andrzej",David French,"=""0316219185""","=""9780316219181""",4,4.27,Orbit,Paperback,349,2014,1996,2022/03/08,2022/02/27,,,read,,,,1,,,0,,,,,
32940866,Caesar's Last Breath: Decoding the Secrets of the Air Around Us,Sam Kean,"Kean, Sam",,"=""0316381640""","=""9780316381642""",0,4.23,"Little, Brown and Company",Hardcover,384,2017,2017,,2022/03/08,to-read,to-read (#29),to-read,,,,0,,,0,,,,,
141624,Napoleon's Buttons: How 17 Molecules Changed History,Penny Le Couteur,"Couteur, Penny Le",Jay Burreson,"=""1585422207""","=""9781585422203""",0,3.96,Tarcher,Hardcover,375,2003,1991,,2022/03/08,to-read,to-read (#28),to-read,,,,0,,,0,,,,,
18222843,Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,"Miodownik, Mark",,"=""0544236041""","=""9780544236042""",0,4.10,Houghton Mifflin Harcourt,Hardcover,272,2014,2013,,2022/03/08,to-read,to-read (#27),to-read,,,,0,,,0,,,,,
5553,Six Easy Pieces: Essentials of Physics By Its Most Brilliant Teacher,Richard P. Feynman,"Feynman, Richard P.",,"=""0465023924""","=""9780465023929""",0,4.21,Basic Books,Paperback,138,1995,1994,,2022/03/08,to-read,to-read (#26),to-read,,,,0,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",2,4.03,Vintage Books,Paperback,296,2000,1987,2021/05/15,2021/05/13,,,read,,,,1,,,0,,,,,
15730101,The Call of Cthulhu,H.P. Lovecraft,"Lovecraft, H.P.",,"=""""","=""""",2,4.00,"Amazon Digital Services, Inc.",Kindle Edition,43,2011,1926,,2021/04/16,,,read,,,,1,,,0,,,,,
43575115,The Starless Sea,Erin Morgenstern,"Morgenstern, Erin",,"=""038554121X""","=""9780385541213""",1,3.85,Doubleday Books,Hardcover,498,2019,2019,2022/02/03,2021/11/04,,,read,,,,1,,,0,,,,,
